Your Current Country.,Your Current Zip Code / Pin Code,Your Gender,Which of the below factors influence the most about your career aspirations ?,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,How likely is that you will work for one employer for 3 years or more ?,Would you work for a company whose mission is not clearly defined and publicly posted.,How likely would you work for a company whose mission is misaligned with their public actions or even their product ?,How likely would you work for a company whose mission is not bringing social impact ?,What is the most preferred working environment for you.,Which of the below Employers would you work with.,Which type of learning environment that you are most likely to work in ?,Which of the below careers looks close to your Aspirational job ?,What type of Manager would you work without looking into your watch ?,Which of the following setup you would like to work ?
India,679121,Male,"People from my circle, but not family members","Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",Yes,Will work for them,8,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Trial and error by doing side projects within the company","Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights, Work as a freelancer and do my thing my way",Manager who sets goal and helps me achieve it,"Work alone, Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
India,639111,Male,People who have changed the world for better,"No, But if someone could bare the cost I will",Will work for 3 years or more,No,Will NOT work for them,1,Fully Remote with Options to travel as and when needed,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Develop amazing software, Look deeply into Data and generate insights, Work as a freelancer and do my thing my way",Manager who sets goal and helps me achieve it,Work alone
India,136119,Male,My Parents,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",Yes,Will work for them,4,Hybrid Working Environment with less than 15 days a month at office,Employer who appreciates learning and enables that environment,"Learning by observing others, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Manage and drive End-to-End Projects or Products",Manager who sets goal and helps me achieve it,Work with 2 to 3 people in my team
India,678104,Male,People who have changed the world for better,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,1,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Business Operations in any organization, Look deeply into Data and generate insights",Manager who sets goal and helps me achieve it,Work with 5 to 6 people in my team
India,560024,Female,"People from my circle, but not family members","Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",Yes,Will NOT work for them,6,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Creative strategy in any company, Manage and drive End-to-End Projects or Products, Build and develop a Team","Manager who explains what is expected, sets a goal and helps achieve it",Work with more than 10 people in my team
India,560064,Male,"People from my circle, but not family members","No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,8,Hybrid Working Environment with less than 10 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Learning by observing others","Teaching in any of the institutes/online or Offline, Build and develop a Team, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it","Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team"
India,561203,Male,Influencers who had successful careers,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,1,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Design and Develop amazing software","Manager who explains what is expected, sets a goal and helps achieve it","Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
India,515201,Male,My Parents,"Yes, I will earn and do that",Will work for 3 years or more,No,Will NOT work for them,2,Every Day Office Environment,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Creative strategy in any company, Business Operations in any organization, Become a content Creator in some platform",Manager who sets goal and helps me achieve it,Work with 5 to 6 people in my team
India,211002,Male,People who have changed the world for better,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will work for them,6,Every Day Office Environment,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Trial and error by doing side projects within the company","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Work in a BPO setup for some well known client","Manager who explains what is expected, sets a goal and helps achieve it",Work with more than 10 people in my team
India,577002,Female,Influencers who had successful careers,"Yes, I will earn and do that","No way, 3 years with one employer is crazy",No,Will NOT work for them,7,Hybrid Working Environment with less than 15 days a month at office,Employer who rewards learning and enables that environment,"Instructor or Expert Learning Programs, Learning by observing others","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Build and develop a Team","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 5 to 6 people in my team"
India,673020,Female,"People from my circle, but not family members","No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,1,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Build and develop a Team","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,301019,Male,My Parents,"Yes, I will earn and do that","No way, 3 years with one employer is crazy",No,Will NOT work for them,1,Every Day Office Environment,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Learning by observing others","Design and Creative strategy in any company, Build and develop a Team, Design and Develop amazing software",Manager who clearly describes what she/he needs,Work with 2 to 3 people in my team
India,680613,Female,My Parents,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",Yes,Will NOT work for them,3,Fully Remote with Options to travel as and when needed,Employer who rewards learning and enables that environment,"Self Paced Learning Portals, Learning by observing others","Design and Creative strategy in any company, Work as a freelancer and do my thing my way, Become a content Creator in some platform",Manager who clearly describes what she/he needs,"Work alone, Work with 2 to 3 people in my team, Work with 7 to 10 or more people in my team"
India,852201,Male,People who have changed the world for better,"No, But if someone could bare the cost I will",Will work for 3 years or more,No,Will work for them,8,Every Day Office Environment,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Learning by observing others, Trial and error by doing side projects within the company","Design and Develop amazing software, Look deeply into Data and generate insights, Work as a freelancer and do my thing my way","Manager who explains what is expected, sets a goal and helps achieve it",Work with 7 to 10 or more people in my team
India,731021,Male,"People from my circle, but not family members","No, But if someone could bare the cost I will",Will work for 3 years or more,No,Will NOT work for them,5,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Learning by observing others, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Manage and drive End-to-End Projects or Products, Design and Develop amazing software","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,303007,Male,Influencers who had successful careers,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,1,Fully Remote with Options to travel as and when needed,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Business Operations in any organization, Work as a freelancer and do my thing my way",Manager who sets goal and helps me achieve it,Work with more than 10 people in my team
India,852201,Female,My Parents,No I would not be pursuing Higher Education outside of India,Will work for 3 years or more,No,Will work for them,6,Hybrid Working Environment with less than 3 days a month at office,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Creative strategy in any company, Business Operations in any organization, Design and Develop amazing software",Manager who sets targets and expects me to achieve it,Work with 5 to 6 people in my team
United Arab Emirates,27287,Female,My Parents,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,6,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Learning by observing others, Trial and error by doing side projects within the company","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Build and develop a Team","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
India,700063,Male,People who have changed the world for better,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Teaching in any of the institutes/online or Offline, Look deeply into Data and generate insights, Work as a freelancer and do my thing my way","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
India,577528,Male,Social Media like LinkedIn,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",Yes,Will work for them,1,Every Day Office Environment,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Learning by observing others","Design and Creative strategy in any company, Business Operations in any organization, Become a content Creator in some platform",Manager who sets targets and expects me to achieve it,Work with more than 10 people in my team
India,122003,Male,My Parents,"Yes, I will earn and do that",Will work for 3 years or more,No,Will NOT work for them,7,Every Day Office Environment,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Learning by observing others","Design and Creative strategy in any company, Build and develop a Team, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team"
India,122003,Male,People who have changed the world for better,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,1,Hybrid Working Environment with less than 10 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights, Work as a freelancer and do my thing my way","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,440002,Male,Influencers who had successful careers,"No, But if someone could bare the cost I will",Will work for 3 years or more,No,Will NOT work for them,7,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights",Manager who sets goal and helps me achieve it,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
India,852201,Female,People who have changed the world for better,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Fully Remote with No option to visit offices,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Teaching in any of the institutes/online or Offline, Work as a freelancer and do my thing my way, Become a content Creator in some platform","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team"
India,465674,Female,My Parents,No I would not be pursuing Higher Education outside of India,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,10,Hybrid Working Environment with less than 10 days a month at office,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Creative strategy in any company, Build and develop a Team, Look deeply into Data and generate insights",Manager who sets targets and expects me to achieve it,Work with 2 to 3 people in my team
India,561203,Male,Influencers who had successful careers,"Yes, I will earn and do that","No way, 3 years with one employer is crazy",No,Will NOT work for them,6,Hybrid Working Environment with less than 3 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Learning by observing others","Teaching in any of the institutes/online or Offline, Design and Develop amazing software, Work as a freelancer and do my thing my way",Manager who clearly describes what she/he needs,Work with 2 to 3 people in my team
India,577004,Female,Influencers who had successful careers,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Every Day Office Environment,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Learning by observing others","Design and Creative strategy in any company, Business Operations in any organization, Work as a freelancer and do my thing my way","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,826004,Male,People who have changed the world for better,"Yes, I will earn and do that",Will work for 3 years or more,No,Will NOT work for them,4,Every Day Office Environment,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Teaching in any of the institutes/online or Offline, Work as a freelancer and do my thing my way, Become a content Creator in some platform",Manager who clearly describes what she/he needs,Work with 2 to 3 people in my team
India,826004,Male,My Parents,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,7,Hybrid Working Environment with less than 15 days a month at office,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Learning by observing others","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Manage and drive End-to-End Projects or Products","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team"
India,515003,Male,My Parents,No I would not be pursuing Higher Education outside of India,Will work for 3 years or more,No,Will NOT work for them,8,Every Day Office Environment,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Learning by observing others","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Design and Develop amazing software","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
India,496001,Male,My Parents,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,2,Hybrid Working Environment with less than 10 days a month at office,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Learning by observing others","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Business Operations in any organization",Manager who sets goal and helps me achieve it,Work with 2 to 3 people in my team
India,713104,Male,People who have changed the world for better,"Yes, I will earn and do that",Will work for 3 years or more,No,Will NOT work for them,5,Fully Remote with No option to visit offices,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Creative strategy in any company, Manage and drive End-to-End Projects or Products, Build and develop a Team","Manager who explains what is expected, sets a goal and helps achieve it","Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team"
India,416001,Male,My Parents,No I would not be pursuing Higher Education outside of India,"This will be hard to do, but if it is the right company I would try",Yes,Will NOT work for them,10,Fully Remote with Options to travel as and when needed,Employer who appreciates learning and enables that environment,"Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Business Operations in any organization, Work as a freelancer and do my thing my way, Become a content Creator in some platform","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team, Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team, Work with more than 10 people in my team"
India,826004,Male,People who have changed the world for better,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,4,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Learning by observing others","Design and Creative strategy in any company, Teaching in any of the institutes/online or Offline, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team"
India,110088,Male,"People from my circle, but not family members","Yes, I will earn and do that",Will work for 3 years or more,Yes,Will work for them,8,Hybrid Working Environment with less than 10 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Trial and error by doing side projects within the company","Business Operations in any organization, Look deeply into Data and generate insights, Work as a freelancer and do my thing my way","Manager who explains what is expected, sets a goal and helps achieve it",Work with more than 10 people in my team
India,110016,Female,My Parents,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,8,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Teaching in any of the institutes/online or Offline, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it","Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
India,131001,Male,My Parents,"Yes, I will earn and do that",Will work for 3 years or more,Yes,Will work for them,8,Hybrid Working Environment with less than 15 days a month at office,Employer who rewards learning and enables that environment,"Learning by observing others, Trial and error by doing side projects within the company","Business Operations in any organization, Build and develop a Team, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it","Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team, Work with more than 10 people in my team"
India,505001,Male,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Will work for 3 years or more,No,Will NOT work for them,8,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Build and develop a Team, Work as a freelancer and do my thing my way, Become a content Creator in some platform",Manager who sets goal and helps me achieve it,"Work alone, Work with more than 10 people in my team"
India,600064,Female,"People from my circle, but not family members",No I would not be pursuing Higher Education outside of India,Will work for 3 years or more,No,Will work for them,3,Hybrid Working Environment with less than 15 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Learning by observing others","Design and Creative strategy in any company, Build and develop a Team, Design and Develop amazing software","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,600129,Female,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Will work for 3 years or more,Yes,Will work for them,5,Hybrid Working Environment with less than 10 days a month at office,Employer who rewards learning and enables that environment,"Learning by observing others, Trial and error by doing side projects within the company","Manage and drive End-to-End Projects or Products, Build and develop a Team, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team
India,263126,Male,Social Media like LinkedIn,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",Yes,Will NOT work for them,6,Hybrid Working Environment with less than 3 days a month at office,Employer who rewards learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Business Operations in any organization, Look deeply into Data and generate insights, Work as a freelancer and do my thing my way","Manager who explains what is expected, sets a goal and helps achieve it",Work with more than 10 people in my team
India,781008,Male,"People from my circle, but not family members","Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Build and develop a Team, Look deeply into Data and generate insights, Become a content Creator in some platform",Manager who sets goal and helps me achieve it,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team"
India,785001,Male,People who have changed the world for better,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",Yes,Will work for them,7,Hybrid Working Environment with less than 10 days a month at office,Employer who rewards learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Develop amazing software, Look deeply into Data and generate insights, Work as a freelancer and do my thing my way",Manager who sets goal and helps me achieve it,"Work alone, Work with 2 to 3 people in my team"
India,629004,Male,People who have changed the world for better,"No, But if someone could bare the cost I will",Will work for 3 years or more,Yes,Will NOT work for them,10,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team, Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team, Work with more than 10 people in my team"
India,600089,Male,My Parents,"Yes, I will earn and do that",Will work for 3 years or more,No,Will NOT work for them,4,Every Day Office Environment,Employer who pushes your limits and doesn't enables learning environment and never rewards you,"Instructor or Expert Learning Programs, Learning by observing others","Design and Creative strategy in any company, Business Operations in any organization, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 7 to 10 or more people in my team
India,500005,Male,People who have changed the world for better,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",Yes,Will NOT work for them,5,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Design and Develop amazing software, Look deeply into Data and generate insights, Work as a freelancer and do my thing my way","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team"
India,452007,Male,My Parents,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,4,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Business Operations in any organization, Build and develop a Team, Look deeply into Data and generate insights",Manager who clearly describes what she/he needs,Work with 5 to 6 people in my team
India,782001,Male,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,"This will be hard to do, but if it is the right company I would try",Yes,Will work for them,6,Fully Remote with No option to visit offices,Employer who appreciates learning and enables that environment,"Self Paced Learning Portals, Instructor or Expert Learning Programs","Design and Creative strategy in any company, Design and Develop amazing software, Become a content Creator in some platform",Manager who clearly describes what she/he needs,Work alone
India,248001,Female,People who have changed the world for better,"No, But if someone could bare the cost I will","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,6,Hybrid Working Environment with less than 10 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Trial and error by doing side projects within the company","Design and Creative strategy in any company, Business Operations in any organization, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
India,785001,Male,My Parents,"Yes, I will earn and do that",Will work for 3 years or more,No,Will NOT work for them,8,Every Day Office Environment,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Instructor or Expert Learning Programs","Business Operations in any organization, Build and develop a Team, Become a content Creator in some platform","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team
India,852218,Male,My Parents,No I would not be pursuing Higher Education outside of India,"This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,5,Fully Remote with Options to travel as and when needed,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Instructor or Expert Learning Programs, Trial and error by doing side projects within the company","Build and develop a Team, Design and Develop amazing software, Look deeply into Data and generate insights",Manager who sets goal and helps me achieve it,Work with 5 to 6 people in my team
India,411038,Male,People who have changed the world for better,"Yes, I will earn and do that","This will be hard to do, but if it is the right company I would try",No,Will NOT work for them,8,Hybrid Working Environment with less than 3 days a month at office,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Self Paced Learning Portals, Learning by observing others","Business Operations in any organization, Manage and drive End-to-End Projects or Products, Look deeply into Data and generate insights","Manager who explains what is expected, sets a goal and helps achieve it","Work alone, Work with 2 to 3 people in my team"
